เลขที่บิล,วันที่,เวลา,สาขา,สินค้า,หมวดสินค้า,จำนวน,ราคาต่อหน่วย,ยอดขาย,รหัสลูกค้า,สถานะ
B000014,26/06/2569,08:00,สาขาสยาม,เอสเปรสโซ่,กาแฟ,2,50,100,M0208,สำเร็จ
B000014,26/06/2569,08:00,สาขาสยาม,โกโก้เย็น,ชาและเครื่องดื่ม,2,60,120,M0208,สำเร็จ
B000015,26/06/2569,08:29,สาขาสยาม,คาปูชิโน่ร้อน,กาแฟ,1,60,60,,สำเร็จ
B000016,26/06/2569,08:13,สาขาสยาม,ชีสเค้กบลูเบอร์รี่,เบเกอรี่,1,95,95,M1414,สำเร็จ
B000017,26/06/2569,08:33,สาขาสยาม,ครัวซองต์เนยสด,เบเกอรี่,1,55,55,,สำเร็จ
B000018,26/06/2569,08:48,สาขาสยาม,อเมริกาโน่เย็น,กาแฟ,1,55,55,M0491,สำเร็จ
B000018,26/06/2569,08:48,สาขาสยาม,ชาไทยเย็น,ชาและเครื่องดื่ม,1,50,50,M0491,สำเร็จ
B000019,26/06/2569,08:59,สาขาสยาม,ชาเขียวมัทฉะลาเต้,ชาและเครื่องดื่ม,1,75,75,,สำเร็จ
B000020,26/06/2569,08:57,สาขาสยาม,บานอฟฟี่,เบเกอรี่,1,90,90,,สำเร็จ
B000020,26/06/2569,08:57,สาขาสยาม,บราวนี่ช็อกโกแลต,เบเกอรี่,1,65,65,,สำเร็จ
B000020,26/06/2569,08:57,สาขาสยาม,ชาเขียวมัทฉะลาเต้,ชาและเครื่องดื่ม,1,75,75,,สำเร็จ
B000021,26/06/2569,08:05,สาขาสยาม,ครัวซองต์เนยสด,เบเกอรี่,2,55,110,M0261,สำเร็จ
B000022,26/06/2569,08:42,สาขาสยาม,ชีสเค้กบลูเบอร์รี่,เบเกอรี่,2,95,190,M1124,สำเร็จ
B000023,26/06/2569,08:27,สาขาสยาม,เอสเปรสโซ่,กาแฟ,1,50,50,M1790,สำเร็จ
B000024,26/06/2569,09:47,สาขาสยาม,น้ำผึ้งมะนาวโซดา,ชาและเครื่องดื่ม,1,55,55,,สำเร็จ
B000024,26/06/2569,09:47,สาขาสยาม,ครัวซองต์เนยสด,เบเกอรี่,1,55,55,,สำเร็จ
B000024,26/06/2569,09:47,สาขาสยาม,ชีสเค้กบลูเบอร์รี่,เบเกอรี่,1,95,95,,สำเร็จ
B000025,26/06/2569,09:03,สาขาสยาม,มอคค่าเย็น,กาแฟ,1,70,70,,สำเร็จ
B000026,26/06/2569,09:49,สาขาสยาม,น้ำผึ้งมะนาวโซดา,ชาและเครื่องดื่ม,1,55,55,,สำเร็จ
B000026,26/06/2569,09:49,สาขาสยาม,น้ำผึ้งมะนาวโซดา,ชาและเครื่องดื่ม,2,55,110,,สำเร็จ
B000027,26/06/2569,09:44,สาขาสยาม,คาปูชิโน่ร้อน,กาแฟ,1,60,60,,สำเร็จ
B000028,26/06/2569,09:25,สาขาสยาม,คาปูชิโน่ร้อน,กาแฟ,2,60,120,M1375,สำเร็จ
B000029,26/06/2569,09:41,สาขาสยาม,คาปูชิโน่ร้อน,กาแฟ,2,60,120,M0519,สำเร็จ
B000029,26/06/2569,09:41,สาขาสยาม,น้ำผึ้งมะนาวโซดา,ชาและเครื่องดื่ม,1,55,55,M0519,สำเร็จ
B999992,31/02/2569,11:00,สาขาอารีย์,โกโก้เย็น,ชาและเครื่องดื่ม,1,60,60,,สำเร็จ
B000030,26/06/2569,09:26,สาขาสยาม,ชาไทยเย็น,ชาและเครื่องดื่ม,1,50,50,M0189,สำเร็จ
B000031,26/06/2569,09:18,สาขาสยาม,อเมริกาโน่เย็น,กาแฟ,2,55,110,,สำเร็จ
B000031,26/06/2569,09:18,สาขาสยาม,แซนด์วิชแฮมชีส,อาหาร,2,85,170,,สำเร็จ
B000032,26/06/2569,09:52,สาขาสยาม,บานอฟฟี่,เบเกอรี่,1,90,90,,สำเร็จ
B000033,26/06/2569,09:27,สาขาสยาม,ลาเต้เย็น,กาแฟ,1,65,65,M0035,สำเร็จ
B000033,26/06/2569,09:27,สาขาสยาม,เอสเปรสโซ่,กาแฟ,1,50,50,M0035,สำเร็จ
B000034,26/06/2569,10:02,สาขาสยาม,เอสเปรสโซ่,กาแฟ,1,50,50,,สำเร็จ
B000034,26/06/2569,10:02,สาขาสยาม,เอสเปรสโซ่,กาแฟ,1,50,50,,สำเร็จ
B000035,26/06/2569,10:01,สาขาสยาม,ลาเต้เย็น,กาแฟ,1,65,65,M0038,สำเร็จ
B000036,26/06/2569,10:41,สาขาสยาม,มอคค่าเย็น,กาแฟ,1,70,70,,สำเร็จ
B000036,26/06/2569,10:41,สาขาสยาม,ชาไทยเย็น,ชาและเครื่องดื่ม,2,50,100,,สำเร็จ
B000036,26/06/2569,10:41,สาขาสยาม,เอสเปรสโซ่,กาแฟ,1,50,50,,สำเร็จ
B000037,26/06/2569,10:03,สาขาสยาม,อเมริกาโน่เย็น,กาแฟ,1,55,55,,สำเร็จ
B000038,26/06/2569,10:10,สาขาสยาม,มอคค่าเย็น,กาแฟ,1,70,70,,สำเร็จ
B000038,26/06/2569,10:10,สาขาสยาม,น้ำผึ้งมะนาวโซดา,ชาและเครื่องดื่ม,1,55,55,,สำเร็จ
B000038,26/06/2569,10:10,สาขาสยาม,แซนด์วิชแฮมชีส,อาหาร,1,85,85,,สำเร็จ
B000039,26/06/2569,11:01,สาขาสยาม,บานอฟฟี่,เบเกอรี่,1,90,90,M0477,สำเร็จ
B000039,26/06/2569,11:01,สาขาสยาม,สปาเกตตีคาโบนารา,อาหาร,1,129,129,M0477,สำเร็จ
B000040,26/06/2569,11:46,สาขาสยาม,แซนด์วิชแฮมชีส,อาหาร,1,85,85,,สำเร็จ
B000040,26/06/2569,11:46,สาขาสยาม,เอสเปรสโซ่,กาแฟ,2,50,100,,สำเร็จ
B000040,26/06/2569,11:46,สาขาสยาม,อเมริกาโน่เย็น,กาแฟ,1,55,55,,สำเร็จ
B000041,26/06/2569,11:37,สาขาสยาม,คาปูชิโน่ร้อน,กาแฟ,1,60,60,,สำเร็จ
B000041,26/06/2569,11:37,สาขาสยาม,เอสเปรสโซ่,กาแฟ,1,50,50,,สำเร็จ
B000042,26/06/2569,11:06,สาขาสยาม,โกโก้เย็น,ชาและเครื่องดื่ม,1,60,60,,สำเร็จ
B000042,26/06/2569,11:06,สาขาสยาม,อเมริกาโน่เย็น,กาแฟ,1,55,55,,สำเร็จ
B000042,26/06/2569,11:06,สาขาสยาม,คาปูชิโน่ร้อน,กาแฟ,1,60,60,,สำเร็จ
B000043,26/06/2569,11:32,สาขาสยาม,สปาเกตตีคาโบนารา,อาหาร,1,129,129,,สำเร็จ
B000044,26/06/2569,11:04,สาขาสยาม,ข้าวกะเพราไก่ไข่ดาว,อาหาร,1,89,89,M1494,สำเร็จ
B000045,26/06/2569,12:24,สาขาสยาม,ชาเขียวมัทฉะลาเต้,ชาและเครื่องดื่ม,1,75,75,,สำเร็จ
B000045,26/06/2569,12:24,สาขาสยาม,เอสเปรสโซ่,กาแฟ,1,50,50,,สำเร็จ
B000045,26/06/2569,12:24,สาขาสยาม,ครัวซองต์เนยสด,เบเกอรี่,1,55,55,,สำเร็จ
B000046,26/06/2569,12:08,สาขาสยาม,ชาเขียวมัทฉะลาเต้,ชาและเครื่องดื่ม,1,75,75,,สำเร็จ
B000046,26/06/2569,12:08,สาขาสยาม,ครัวซองต์เนยสด,เบเกอรี่,1,55,55,,สำเร็จ
B000047,26/06/2569,12:18,สาขาสยาม,ชาเขียวมัทฉะลาเต้,ชาและเครื่องดื่ม,1,75,75,,สำเร็จ
B000047,26/06/2569,12:18,สาขาสยาม,คาปูชิโน่ร้อน,กาแฟ,2,60,120,,สำเร็จ
B000047,26/06/2569,12:18,สาขาสยาม,อเมริกาโน่เย็น,กาแฟ,1,55,55,,สำเร็จ
B000048,26/06/2569,12:04,สาขาสยาม,ชาเขียวมัทฉะลาเต้,ชาและเครื่องดื่ม,2,75,150,,สำเร็จ
B000048,26/06/2569,12:04,สาขาสยาม,ชาเขียวมัทฉะลาเต้,ชาและเครื่องดื่ม,1,75,75,,สำเร็จ
B000049,26/06/2569,12:05,สาขาสยาม,น้ำผึ้งมะนาวโซดา,ชาและเครื่องดื่ม,2,55,110,,สำเร็จ
B000050,26/06/2569,12:45,สาขาสยาม,อเมริกาโน่เย็น,กาแฟ,2,55,110,M1795,สำเร็จ
B000051,26/06/2569,12:43,สาขาสยาม,บานอฟฟี่,เบเกอรี่,1,90,90,,สำเร็จ
B000052,26/06/2569,12:53,สาขาสยาม,ชาเขียวมัทฉะลาเต้,ชาและเครื่องดื่ม,1,75,75,M1538,สำเร็จ
B000053,26/06/2569,12:57,สาขาสยาม,คาปูชิโน่ร้อน,กาแฟ,1,60,60,M0763,สำเร็จ
B000054,26/06/2569,12:27,สาขาสยาม,ครัวซองต์เนยสด,เบเกอรี่,1,55,55,M0099,สำเร็จ
B000055,26/06/2569,12:09,สาขาสยาม,ชีสเค้กบลูเบอร์รี่,เบเกอรี่,1,95,95,,สำเร็จ
B000056,26/06/2569,12:27,สาขาสยาม,ชาเขียวมัทฉะลาเต้,ชาและเครื่องดื่ม,1,75,75,M1560,สำเร็จ
B000056,26/06/2569,12:27,สาขาสยาม,ลาเต้เย็น,กาแฟ,2,65,130,M1560,สำเร็จ
B000056,26/06/2569,12:27,สาขาสยาม,แซนด์วิชแฮมชีส,อาหาร,1,85,85,M1560,สำเร็จ
B000057,26/06/2569,13:18,สาขาสยาม,บราวนี่ช็อกโกแลต,เบเกอรี่,1,65,65,M1127,สำเร็จ
B999993,26/06/2569,12:00,สาขาทองหล่อ,บานอฟฟี่,เบเกอรี่,1,,,,สำเร็จ
B000058,26/06/2569,13:16,สาขาสยาม,โกโก้เย็น,ชาและเครื่องดื่ม,1,60,60,,สำเร็จ
B000059,26/06/2569,13:35,สาขาสยาม,สปาเกตตีคาโบนารา,อาหาร,1,129,129,M0343,สำเร็จ
B000060,26/06/2569,13:28,สาขาสยาม,ชาเขียวมัทฉะลาเต้,ชาและเครื่องดื่ม,1,75,75,M1555,สำเร็จ
B000061,26/06/2569,13:11,สาขาสยาม,ชาเขียวมัทฉะลาเต้,ชาและเครื่องดื่ม,2,75,150,,สำเร็จ
B000062,26/06/2569,13:47,สาขาสยาม,บานอฟฟี่,เบเกอรี่,1,90,90,,สำเร็จ
B000063,26/06/2569,13:48,สาขาสยาม,ชาเขียวมัทฉะลาเต้,ชาและเครื่องดื่ม,1,75,75,,สำเร็จ
B000064,26/06/2569,13:57,สาขาสยาม,เอสเปรสโซ่,กาแฟ,1,50,50,M1323,สำเร็จ
B000064,26/06/2569,13:57,สาขาสยาม,สปาเกตตีคาโบนารา,อาหาร,2,129,258,M1323,สำเร็จ
B000065,26/06/2569,13:31,สาขาสยาม,ข้าวกะเพราไก่ไข่ดาว,อาหาร,1,89,89,M1691,สำเร็จ
B000066,26/06/2569,13:06,สาขาสยาม,ข้าวกะเพราไก่ไข่ดาว,อาหาร,1,89,89,M1070,สำเร็จ
B000067,26/06/2569,14:49,สาขาสยาม,น้ำผึ้งมะนาวโซดา,ชาและเครื่องดื่ม,1,55,55,M0258,สำเร็จ
B000067,26/06/2569,14:49,สาขาสยาม,น้ำผึ้งมะนาวโซดา,ชาและเครื่องดื่ม,2,55,110,M0258,สำเร็จ
B000067,26/06/2569,14:49,สาขาสยาม,อเมริกาโน่เย็น,กาแฟ,1,55,55,M0258,สำเร็จ
B000068,26/06/2569,14:19,สาขาสยาม,ชาเขียวมัทฉะลาเต้,ชาและเครื่องดื่ม,1,75,75,M0648,สำเร็จ
B000068,26/06/2569,14:19,สาขาสยาม,บราวนี่ช็อกโกแลต,เบเกอรี่,1,65,65,M0648,สำเร็จ
B000069,26/06/2569,14:05,สาขาสยาม,บราวนี่ช็อกโกแลต,เบเกอรี่,1,65,65,M0870,สำเร็จ
B000070,26/06/2569,15:54,สาขาสยาม,บานอฟฟี่,เบเกอรี่,2,90,180,M1016,สำเร็จ
B000071,26/06/2569,15:06,สาขาสยาม,คาปูชิโน่ร้อน,กาแฟ,2,60,120,,สำเร็จ
B000072,26/06/2569,15:03,สาขาสยาม,ชาไทยเย็น,ชาและเครื่องดื่ม,1,50,50,M1221,สำเร็จ
B000073,26/06/2569,15:05,สาขาสยาม,ชาไทยเย็น,ชาและเครื่องดื่ม,2,50,100,M0391,สำเร็จ
B000073,26/06/2569,15:05,สาขาสยาม,ลาเต้เย็น,กาแฟ,1,65,65,M0391,สำเร็จ
B000073,26/06/2569,15:05,สาขาสยาม,มอคค่าเย็น,กาแฟ,1,70,70,M0391,สำเร็จ
B000074,26/06/2569,15:49,สาขาสยาม,มอคค่าเย็น,กาแฟ,1,70,70,M1647,สำเร็จ
B000075,26/06/2569,15:47,สาขาสยาม,โกโก้เย็น,ชาและเครื่องดื่ม,1,60,60,,สำเร็จ
B000076,26/06/2569,15:58,สาขาสยาม,เอสเปรสโซ่,กาแฟ,1,50,50,M1531,สำเร็จ
B000076,26/06/2569,15:58,สาขาสยาม,ชีสเค้กบลูเบอร์รี่,เบเกอรี่,1,95,95,M1531,สำเร็จ
B000077,26/06/2569,15:58,สาขาสยาม,บานอฟฟี่,เบเกอรี่,1,90,90,,สำเร็จ
B000078,26/06/2569,15:16,สาขาสยาม,ชีสเค้กบลูเบอร์รี่,เบเกอรี่,1,95,95,,สำเร็จ
B000078,26/06/2569,15:16,สาขาสยาม,ชาไทยเย็น,ชาและเครื่องดื่ม,1,50,50,,สำเร็จ
B000079,26/06/2569,15:38,สาขาสยาม,น้ำผึ้งมะนาวโซดา,ชาและเครื่องดื่ม,1,55,55,,สำเร็จ
B000080,26/06/2569,15:27,สาขาสยาม,โกโก้เย็น,ชาและเครื่องดื่ม,1,60,60,M0148,สำเร็จ
B000081,26/06/2569,16:08,สาขาสยาม,บานอฟฟี่,เบเกอรี่,1,90,90,,สำเร็จ
B000082,26/06/2569,16:18,สาขาสยาม,เอสเปรสโซ่,กาแฟ,2,50,100,,สำเร็จ
B000082,26/06/2569,16:18,สาขาสยาม,มอคค่าเย็น,กาแฟ,1,70,70,,สำเร็จ
B000083,26/06/2569,16:14,สาขาสยาม,โกโก้เย็น,ชาและเครื่องดื่ม,2,60,120,,สำเร็จ
B000083,26/06/2569,16:14,สาขาสยาม,ชาเขียวมัทฉะลาเต้,ชาและเครื่องดื่ม,1,75,75,,สำเร็จ
B000084,26/06/2569,16:52,สาขาสยาม,อเมริกาโน่เย็น,กาแฟ,1,55,55,M0154,สำเร็จ
B000084,26/06/2569,16:52,สาขาสยาม,ชาไทยเย็น,ชาและเครื่องดื่ม,1,50,50,M0154,สำเร็จ
B000085,26/06/2569,16:02,สาขาสยาม,ชาไทยเย็น,ชาและเครื่องดื่ม,1,50,50,,สำเร็จ
B000085,26/06/2569,16:02,สาขาสยาม,น้ำผึ้งมะนาวโซดา,ชาและเครื่องดื่ม,1,55,55,,สำเร็จ
B000086,26/06/2569,16:26,สาขาสยาม,เอสเปรสโซ่,กาแฟ,1,50,50,,สำเร็จ
B000087,26/06/2569,16:18,สาขาสยาม,บานอฟฟี่,เบเกอรี่,1,90,90,M0106,สำเร็จ
B000088,26/06/2569,16:12,สาขาสยาม,ชาเขียวมัทฉะลาเต้,ชาและเครื่องดื่ม,1,75,75,,สำเร็จ
B000089,26/06/2569,17:08,สาขาสยาม,คาปูชิโน่ร้อน,กาแฟ,1,60,60,M0292,สำเร็จ
B000089,26/06/2569,17:08,สาขาสยาม,ลาเต้เย็น,กาแฟ,1,65,65,M0292,สำเร็จ
B000090,26/06/2569,17:48,สาขาสยาม,ชาไทยเย็น,ชาและเครื่องดื่ม,1,50,50,,สำเร็จ
B000091,26/06/2569,17:59,สาขาสยาม,ครัวซองต์เนยสด,เบเกอรี่,1,55,55,M1459,สำเร็จ
B000091,26/06/2569,17:59,สาขาสยาม,ชาเขียวมัทฉะลาเต้,ชาและเครื่องดื่ม,2,75,150,M1459,สำเร็จ
B000092,26/06/2569,18:10,สาขาสยาม,อเมริกาโน่เย็น,กาแฟ,1,55,55,M0307,สำเร็จ
B000092,26/06/2569,18:10,สาขาสยาม,บราวนี่ช็อกโกแลต,เบเกอรี่,1,65,65,M0307,สำเร็จ
B000093,26/06/2569,18:41,สาขาสยาม,โกโก้เย็น,ชาและเครื่องดื่ม,1,60,60,M0511,สำเร็จ
B000093,26/06/2569,18:41,สาขาสยาม,คาปูชิโน่ร้อน,กาแฟ,1,60,60,M0511,สำเร็จ
B000094,26/06/2569,18:25,สาขาสยาม,บราวนี่ช็อกโกแลต,เบเกอรี่,1,65,65,M0735,สำเร็จ
B000095,26/06/2569,18:59,สาขาสยาม,คาปูชิโน่ร้อน,กาแฟ,1,60,60,M1476,สำเร็จ
B000096,26/06/2569,18:04,สาขาสยาม,บานอฟฟี่,เบเกอรี่,1,90,90,,สำเร็จ
B000097,26/06/2569,18:50,สาขาสยาม,เอสเปรสโซ่,กาแฟ,2,50,100,,สำเร็จ
B000098,26/06/2569,18:29,สาขาสยาม,คาปูชิโน่ร้อน,กาแฟ,1,60,60,M0984,สำเร็จ
B000099,26/06/2569,19:20,สาขาสยาม,โกโก้เย็น,ชาและเครื่องดื่ม,1,60,60,M1623,สำเร็จ
B000100,26/06/2569,19:37,สาขาสยาม,ชาเขียวมัทฉะลาเต้,ชาและเครื่องดื่ม,2,75,150,,สำเร็จ
B000100,26/06/2569,19:37,สาขาสยาม,โกโก้เย็น,ชาและเครื่องดื่ม,1,60,60,,สำเร็จ
B000100,26/06/2569,19:37,สาขาสยาม,น้ำผึ้งมะนาวโซดา,ชาและเครื่องดื่ม,1,55,55,,สำเร็จ
B000101,26/06/2569,07:40,สาขาอารีย์,แซนด์วิชแฮมชีส,อาหาร,1,85,85,,สำเร็จ
B000102,26/06/2569,07:23,สาขาอารีย์,น้ำผึ้งมะนาวโซดา,ชาและเครื่องดื่ม,1,55,55,M1001,สำเร็จ
B000102,26/06/2569,07:23,สาขาอารีย์,มอคค่าเย็น,กาแฟ,1,70,70,M1001,สำเร็จ
B000103,26/06/2569,07:53,สาขาอารีย์,แซนด์วิชแฮมชีส,อาหาร,1,85,85,M0029,สำเร็จ
B000104,26/06/2569,07:17,สาขาอารีย์,ครัวซองต์เนยสด,เบเกอรี่,1,55,55,,สำเร็จ
B000105,26/06/2569,07:59,สาขาอารีย์,ชาไทยเย็น,ชาและเครื่องดื่ม,1,50,50,,สำเร็จ
B000105,26/06/2569,07:59,สาขาอารีย์,มอคค่าเย็น,กาแฟ,1,70,70,,สำเร็จ
B000106,26/06/2569,08:32,สาขาอารีย์,ชีสเค้กบลูเบอร์รี่,เบเกอรี่,1,95,95,,สำเร็จ
B000107,26/06/2569,08:45,สาขาอารีย์,ลาเต้เย็น,กาแฟ,1,65,65,M1730,สำเร็จ
B000107,26/06/2569,08:45,สาขาอารีย์,ชีสเค้กบลูเบอร์รี่,เบเกอรี่,2,95,190,M1730,สำเร็จ
B000108,26/06/2569,08:16,สาขาอารีย์,บราวนี่ช็อกโกแลต,เบเกอรี่,2,65,130,M1303,สำเร็จ
B000109,26/06/2569,08:57,สาขาอารีย์,ชีสเค้กบลูเบอร์รี่,เบเกอรี่,2,95,190,M1040,สำเร็จ
B000110,26/06/2569,08:12,สาขาอารีย์,น้ำผึ้งมะนาวโซดา,ชาและเครื่องดื่ม,1,55,55,M1232,สำเร็จ
B000110,26/06/2569,08:12,สาขาอารีย์,ชาเขียวมัทฉะลาเต้,ชาและเครื่องดื่ม,2,75,150,M1232,สำเร็จ
B000110,26/06/2569,08:12,สาขาอารีย์,ชาเขียวมัทฉะลาเต้,ชาและเครื่องดื่ม,1,75,75,M1232,สำเร็จ
B000111,26/06/2569,08:04,สาขาอารีย์,คาปูชิโน่ร้อน,กาแฟ,1,60,60,,สำเร็จ
B000112,26/06/2569,08:01,สาขาอารีย์,มอคค่าเย็น,กาแฟ,1,70,70,M1318,สำเร็จ
B000112,26/06/2569,08:01,สาขาอารีย์,สปาเกตตีคาโบนารา,อาหาร,1,129,129,M1318,สำเร็จ
B000112,26/06/2569,08:01,สาขาอารีย์,มอคค่าเย็น,กาแฟ,1,70,70,M1318,สำเร็จ
B000113,26/06/2569,08:02,สาขาอารีย์,คาปูชิโน่ร้อน,กาแฟ,1,60,60,,สำเร็จ
B000114,26/06/2569,08:48,สาขาอารีย์,บานอฟฟี่,เบเกอรี่,1,90,90,M0654,สำเร็จ
B000115,26/06/2569,08:20,สาขาอารีย์,น้ำผึ้งมะนาวโซดา,ชาและเครื่องดื่ม,1,55,55,,สำเร็จ
B000115,26/06/2569,08:20,สาขาอารีย์,มอคค่าเย็น,กาแฟ,1,70,70,,สำเร็จ
B000115,26/06/2569,08:20,สาขาอารีย์,ชาเขียวมัทฉะลาเต้,ชาและเครื่องดื่ม,1,75,75,,สำเร็จ
B000116,26/06/2569,08:12,สาขาอารีย์,คาปูชิโน่ร้อน,กาแฟ,2,60,120,,สำเร็จ
B000117,26/06/2569,08:37,สาขาอารีย์,มอคค่าเย็น,กาแฟ,1,70,70,,สำเร็จ
B000118,26/06/2569,09:07,สาขาอารีย์,ชาเขียวมัทฉะลาเต้,ชาและเครื่องดื่ม,2,75,150,,สำเร็จ
B000118,26/06/2569,09:07,สาขาอารีย์,บราวนี่ช็อกโกแลต,เบเกอรี่,1,65,65,,สำเร็จ
B000118,26/06/2569,09:07,สาขาอารีย์,น้ำผึ้งมะนาวโซดา,ชาและเครื่องดื่ม,1,55,55,,สำเร็จ
B000119,26/06/2569,09:56,สาขาอารีย์,ครัวซองต์เนยสด,เบเกอรี่,1,55,55,M0944,สำเร็จ
B000120,26/06/2569,09:09,สาขาอารีย์,มอคค่าเย็น,กาแฟ,1,70,70,,สำเร็จ
B000120,26/06/2569,09:09,สาขาอารีย์,มอคค่าเย็น,กาแฟ,1,70,70,,สำเร็จ
B000121,26/06/2569,09:48,สาขาอารีย์,มอคค่าเย็น,กาแฟ,1,70,70,,สำเร็จ
B000121,26/06/2569,09:48,สาขาอารีย์,ลาเต้เย็น,กาแฟ,1,65,65,,สำเร็จ
B000122,26/06/2569,09:42,สาขาอารีย์,มอคค่าเย็น,กาแฟ,1,70,70,M0310,สำเร็จ
B000122,26/06/2569,09:42,สาขาอารีย์,สปาเกตตีคาโบนารา,อาหาร,1,129,129,M0310,สำเร็จ
B000122,26/06/2569,09:42,สาขาอารีย์,โกโก้เย็น,ชาและเครื่องดื่ม,1,60,60,M0310,สำเร็จ
B000123,26/06/2569,09:16,สาขาอารีย์,บราวนี่ช็อกโกแลต,เบเกอรี่,1,65,65,,ยกเลิก
B000124,26/06/2569,09:14,สาขาอารีย์,ลาเต้เย็น,กาแฟ,1,65,65,,สำเร็จ
B000124,26/06/2569,09:14,สาขาอารีย์,ชาเขียวมัทฉะลาเต้,ชาและเครื่องดื่ม,1,75,75,,สำเร็จ
B000124,26/06/2569,09:14,สาขาอารีย์,สปาเกตตีคาโบนารา,อาหาร,1,129,129,,สำเร็จ
B000125,26/06/2569,09:29,สาขาอารีย์,สปาเกตตีคาโบนารา,อาหาร,1,129,129,,สำเร็จ
B000125,26/06/2569,09:29,สาขาอารีย์,คาปูชิโน่ร้อน,กาแฟ,1,60,60,,สำเร็จ
B000126,26/06/2569,09:12,สาขาอารีย์,ชาไทยเย็น,ชาและเครื่องดื่ม,1,50,50,M1735,สำเร็จ
B000127,26/06/2569,09:26,สาขาอารีย์,ครัวซองต์เนยสด,เบเกอรี่,1,55,55,,สำเร็จ
B000127,26/06/2569,09:26,สาขาอารีย์,อเมริกาโน่เย็น,กาแฟ,1,55,55,,สำเร็จ
B000128,26/06/2569,09:58,สาขาอารีย์,น้ำผึ้งมะนาวโซดา,ชาและเครื่องดื่ม,2,55,110,,สำเร็จ
B000129,26/06/2569,10:29,สาขาอารีย์,คาปูชิโน่ร้อน,กาแฟ,1,60,60,M1591,สำเร็จ
B000129,26/06/2569,10:29,สาขาอารีย์,โกโก้เย็น,ชาและเครื่องดื่ม,2,60,120,M1591,สำเร็จ
B000130,26/06/2569,10:48,สาขาอารีย์,บราวนี่ช็อกโกแลต,เบเกอรี่,1,65,65,,สำเร็จ
B000131,26/06/2569,10:27,สาขาอารีย์,ชาเขียวมัทฉะลาเต้,ชาและเครื่องดื่ม,1,75,75,M0006,สำเร็จ
B000131,26/06/2569,10:27,สาขาอารีย์,เอสเปรสโซ่,กาแฟ,1,50,50,M0006,สำเร็จ
B000132,26/06/2569,10:03,สาขาอารีย์,บราวนี่ช็อกโกแลต,เบเกอรี่,1,65,65,,สำเร็จ
B000132,26/06/2569,10:03,สาขาอารีย์,ลาเต้เย็น,กาแฟ,1,65,65,,สำเร็จ
B000133,26/06/2569,10:54,สาขาอารีย์,ชีสเค้กบลูเบอร์รี่,เบเกอรี่,1,95,95,M0926,สำเร็จ
B000134,26/06/2569,10:50,สาขาอารีย์,ชีสเค้กบลูเบอร์รี่,เบเกอรี่,1,95,95,,สำเร็จ
B000134,26/06/2569,10:50,สาขาอารีย์,ชาเขียวมัทฉะลาเต้,ชาและเครื่องดื่ม,1,75,75,,สำเร็จ
B000135,26/06/2569,10:08,สาขาอารีย์,น้ำผึ้งมะนาวโซดา,ชาและเครื่องดื่ม,1,55,55,,สำเร็จ
B000136,26/06/2569,10:47,สาขาอารีย์,ชาเขียวมัทฉะลาเต้,ชาและเครื่องดื่ม,2,75,150,M0657,สำเร็จ
